;Cla/Mod;Mod/Cla;Global;p.value;v.test
mob2=mob2_--;31.06;85.02;45.27;0.00;15.79
mob1=mob1_--;34.20;77.13;37.30;0.00;15.74
crea1=crea1_--;30.20;83.18;45.55;0.00;14.99
inf2=inf2_-;63.49;33.81;8.81;0.00;14.42
mob4=mob4_--;33.10;72.77;36.37;0.00;14.32
crea3=crea3_--;32.11;74.17;38.21;0.00;14.18
inf1=inf1_+;41.18;54.85;22.03;0.00;14.03
aise=aise_-;55.30;36.71;10.98;0.00;13.77
mob3=mob3_--;33.71;67.73;33.23;0.00;13.76
soc3=soc3_--;33.73;63.54;31.16;0.00;12.91
crea2=crea2_--;21.55;98.66;75.73;0.00;12.40
inf1=inf1_-;65.80;23.59;5.93;0.00;12.07
ope4=ope4_--;31.55;64.13;33.62;0.00;12.04
ope1=ope1_-;79.79;17.98;3.73;0.00;11.97
inf3=inf3_-;42.83;37.72;14.56;0.00;11.33
inf5=inf5_--;27.66;71.92;43.00;0.00;11.32
ope3=ope3_-;78.26;16.88;3.57;0.00;11.26
ope1=ope1_+;40.98;38.53;15.55;0.00;11.11
soc4=soc4_--;31.27;53.56;28.33;0.00;10.26
inf4=inf4_+;36.15;41.98;19.21;0.00;10.23
ope2=ope2_-;72.07;14.34;3.29;0.00;9.95
inf4=inf4_-;67.54;15.85;3.88;0.00;9.86
soc2=soc2_-;51.62;20.77;6.66;0.00;9.51
soc1=soc1_+;47.38;23.58;8.23;0.00;9.35
soc2=soc2_--;29.76;49.08;27.28;0.00;9.06
ope3=ope3_+;41.12;27.47;11.05;0.00;8.96
crea4=crea4_--;19.26;97.69;83.90;0.00;8.49
ope2=ope2_+;35.39;28.85;13.48;0.00;8.00
soc3=soc3_-;49.21;16.36;5.50;0.00;8.00
inf2=inf2_+;28.52;43.14;25.02;0.00;7.69
ope4=ope4_-;42.49;17.42;6.78;0.00;7.20
age=>=65;28.13;37.60;22.11;0.00;6.87
mob3=mob3_-;50.07;10.95;3.62;0.00;6.49
csp=csp_Retraité;26.24;37.19;23.45;0.00;6.03
prof=prof_Retraité;26.24;37.19;23.45;0.00;6.03
ecrit=ecrit_jam;23.40;47.09;33.29;0.00;5.49
internaute=oui;18.15;94.71;86.30;0.00;5.02
mob4=mob4_-;41.37;8.94;3.57;0.00;4.98
soc2=soc2_nsp;84.20;3.24;0.64;0.00;4.97
mob1=mob1_-;34.55;12.76;6.11;0.00;4.92
soc1=soc1_-;47.62;6.67;2.32;0.00;4.84
soc4=soc4_-;32.94;13.56;6.81;0.00;4.69
age=50-64;23.25;34.94;24.86;0.00;4.42
etude=etude_CAP-BEP;22.45;36.21;26.68;0.00;4.11
inf5=inf5_comprend.pas;34.06;9.76;4.74;0.00;4.05
ope2=ope2_--;23.63;29.24;20.47;0.00;4.05
debInt=<=9an;21.28;44.26;34.40;0.00;4.00
statFam=statFam_marié;20.75;48.68;38.81;0.00;3.82
ope2=ope2_comprend.pas;68.40;2.24;0.54;0.00;3.65
soc4=soc4_nsp;47.71;3.46;1.20;0.00;3.47
nbFoy=2p;20.66;41.68;33.36;0.00;3.40
inf3=inf3_nsp;54.65;2.27;0.69;0.00;3.02
inf4=inf4_nsp;100.00;0.99;0.16;0.00;2.84
crea3=crea3_-;23.43;13.67;9.65;0.01;2.63
